altitude_km,inclination_deg,eccentricity,velocity_km_s,period_min,bstar_abs,local_density_km3,debris_density_km3,debris_fraction_local,incl_dispersion_local,vrel_proxy,alt_density_gradient,object_type_code,is_debris,is_uncontrolled,CPS_log,NORAD_CAT_ID,OBJECT_TYPE,faixa_50km_str
1724.3784999999998,32.8676,0.14443217,7.016980757504119,120.973,0.00049215916,1.5178201307303614e-09,1.1292581772633888e-09,0.744,21.766973,2.6497864417602304,6.28961259160863e-10,0,0,0,0.18112508676011796,11,PAYLOAD,1700-1750
1919.5590000000002,32.896,0.16462516,6.933890163715347,125.371,0.000159672,4.862577456641878e-10,3.4732696118870557e-10,0.71428573,24.69145,2.965070687970152,6.687467596832382e-11,1,0,1,0.0661056535099959,12,ROCKET BODY,1900-1950
1855.991,33.3388,0.16372742,6.960626874958575,123.933,0.00019552539,5.290725850015251e-10,4.1150089944563064e-10,0.7777778,25.211456,3.0381859357415006,7.079160477491509e-11,0,0,0,0.07970071116757402,20,PAYLOAD,1850-1900
482.97950000000003,50.2434,0.00798284,7.626011652254675,94.265,0.00030270571,1.3261819810399003e-07,3.2354165075823346e-09,0.024396475,19.9165,2.6375401510714407,6.96185847542978e-08,0,0,0,0.44870075242615,22,PAYLOAD,450-500
633.452,48.3797,0.00223354,7.543654393645684,97.383,7.5459571e-05,2.8497462703937354e-08,1.370538189233185e-08,0.4809334,19.821625,2.5967518984733595,3.3116327890526116e-08,0,0,0,1.2124397759606724,29,PAYLOAD,600-650
771.9725,66.6933,0.02522623,7.470150920767955,100.283,8.241178e-05,4.8582866718240015e-08,3.7540597172007615e-08,0.7727127,14.432197,1.8766803879447165,1.0150589705248143e-08,0,0,0,1.7360870020003218,45,PAYLOAD,750-800
710.051,66.6888,0.01976544,7.502741853023157,98.983,0.00022831424,3.375630975761472e-08,2.6455932471059586e-08,0.78373295,15.448744,2.0168520917358643,7.989153304576814e-09,0,0,0,1.5130933612585045,46,PAYLOAD,700-750
741.2075,66.6647,0.02196809,7.486290157366821,99.637,0.00015465531,4.349799904417455e-08,3.300499167981128e-08,0.75877035,15.126018,1.9706366539362705,7.989153304576814e-09,1,0,1,1.6707277535133338,47,ROCKET BODY,700-750
1591.8315,47.234,0.01130789,7.07514104700399,118.017,0.00036540467,4.969864664839262e-09,3.426194579548279e-09,0.68939394,16.795727,2.066593542694853,3.6162421395478667e-09,1,0,1,0.38516524927493856,50,ROCKET BODY,1550-1600
1599.616,47.2123,0.01073797,7.071685235706109,118.19,0.00063250296,4.596917719137689e-09,3.1689923240921942e-09,0.6893733,17.15789,2.1097951843924365,3.6162421395478667e-09,2,1,1,0.3671886307561813,51,DEBRIS,1550-1600
