faixa_50km_str,alt_centro,n_total,n_debris,n_uncontrolled,local_density_mean,debris_density_mean,debris_frac_mean,incl_mean,incl_dispersion,vrel_proxy_mean,CPS_log_mean,CPS_log_max,alt_min
200-250,230.52235483870967,31,1,13,1.6418260522470774e-09,4.2936807302718314e-11,0.025821665,62.21506451612903,24.786406,3.335338734694695,0.009288024674166007,0.015056150564523212,200
250-300,278.9206902654867,113,4,34,5.4168101478363375e-09,1.578345173553858e-10,0.030707564,69.18541415929204,22.20059,2.9811602086187876,0.030650134779499034,0.051313354967092516,250
300-350,332.43178381642514,414,11,46,2.3103564010209817e-08,3.05337645629992e-10,0.013701525,74.66247657004831,20.612438,2.7591576791046397,0.05441711238220968,0.070151635949004,300
350-400,365.66971462715105,1046,10,84,2.6879135874677504e-08,4.650337196550372e-10,0.01725372,56.822454302103246,21.6797,2.8931713904620233,0.08559515379197295,0.1407585251204431,350
400-450,424.84786048879835,491,34,140,6.333287215830078e-08,1.3919009892316673e-09,0.033234227,78.19308940936864,20.464909,2.720701088995679,0.2182189025728355,0.2898161415075691,400
450-500,478.9603518974507,6904,87,392,1.329514569125986e-07,3.052623291611058e-09,0.022944653,53.639686746813446,19.808548,2.62414676219832,0.4257897902013394,0.5174806189180777,450
500-550,534.8559063604241,2830,139,363,9.530851579727992e-08,5.085849169692043e-09,0.06135839,70.38532303886926,21.396318,2.8205454003197006,0.6678835271626651,0.7372832817604142,500
550-600,573.53901875,1440,212,353,6.605258823982465e-08,7.264251943735738e-09,0.1123926,77.49327256944444,20.825,2.738539736481418,0.8388466740486007,0.9784166607914555,550
600-650,625.8326675126904,985,386,530,3.2936260349298535e-08,1.2853440735108713e-08,0.406307,79.42331126903552,19.51695,2.5585515147591797,1.1532754342002163,1.3446338844435306,600
650-700,677.2885592841163,894,639,705,3.092068708136411e-08,2.094964249634305e-08,0.6781155,87.86447147651006,17.397863,2.274694214699676,1.417898853734143,1.4599929159693052,650
700-750,725.9958875793292,1103,904,1007,3.8909840385940925e-08,2.983462710678239e-08,0.76782495,88.59725367180417,15.344033,2.00102952979502,1.5982925651517041,1.686507625249952,700
750-800,775.3146527377522,1735,1255,1427,4.906043009118907e-08,3.8016158133473174e-08,0.77462363,87.01398726224784,14.246412,1.852250283604031,1.7342396188841855,1.7696864227216287,750
800-850,824.7879975859988,1657,1398,1516,5.02933933568879e-08,4.097239617851207e-08,0.81593144,92.49182975256487,12.901619,1.6724169281892707,1.7127550293009444,1.7706917406923344,800
