ano,faixa,alt_min,IRR_proj,n_total
2024,200-300,200,2.098,129
2024,300-400,300,1.918,1312
2024,400-500,400,4.372,8643
2024,500-600,500,4.316,4991
2024,600-700,600,4.674,1689
2024,700-800,700,6.008,2679
2024,800-900,800,6.392,2833
2024,900-1000,900,4.929,1828
2024,1000-1100,1000,4.608,857
2024,1100-1200,1100,3.883,878
2024,1200-1300,1200,4.393,764
2024,1300-1400,1300,4.363,308
2024,1400-1500,1400,3.657,910
2024,1500-1600,1500,4.322,480
2024,1600-1700,1600,4.239,188
2024,1700-1800,1700,4.003,88
2024,1800-1900,1800,3.966,41
2024,1900-2000,1900,3.893,40
2025,200-300,200,2.098,133
2025,300-400,300,2.029,1357
2025,400-500,400,4.372,8938
2025,500-600,500,4.316,5161
2025,600-700,600,4.818,1747
2025,700-800,700,6.008,2770
2025,800-900,800,6.436,2929
2025,900-1000,900,4.929,1891
2025,1000-1100,1000,4.608,887
2025,1100-1200,1100,3.896,908
2025,1200-1300,1200,4.393,790
2025,1300-1400,1300,4.363,318
2025,1400-1500,1400,3.589,941
2025,1500-1600,1500,4.322,496
2025,1600-1700,1600,4.239,195
2025,1700-1800,1700,4.003,91
2025,1800-1900,1800,3.969,42
2025,1900-2000,1900,3.893,41
2026,200-300,200,2.098,138
2026,300-400,300,2.056,1404
2026,400-500,400,4.372,9248
2026,500-600,500,4.316,5340
2026,600-700,600,4.833,1807
2026,700-800,700,6.025,2866
2026,800-900,800,6.436,3031
2026,900-1000,900,4.975,1956
2026,1000-1100,1000,4.607,917
2026,1100-1200,1100,3.833,939
2026,1200-1300,1200,4.398,817
2026,1300-1400,1300,4.363,329
2026,1400-1500,1400,3.58,974
2026,1500-1600,1500,4.322,513
2026,1600-1700,1600,4.239,202
2026,1700-1800,1700,4.03,94
2026,1800-1900,1800,3.969,44
2026,1900-2000,1900,3.893,43
2027,200-300,200,2.098,143
2027,300-400,300,2.131,1453
2027,400-500,400,4.372,9572
2027,500-600,500,4.316,5527
2027,600-700,600,4.833,1870
2027,700-800,700,6.068,2967
